incidente_id,tipo_incidente,prioridad_final,confianza,score,n_reglas,reglas,n_ausentes
1285197412954,trafico,P1,media,30.36,1,RD1,9
1285197412318,trafico,P1,baja,26.6,1,RD1,10
1285197335983,rescate,P4,baja,0.0,0,,11
1285197254317,trafico,P1,media,30.36,1,RD1,9
1285197066174,trafico,P1,baja,26.6,1,RD1,10
1285196960747,trafico,P1,baja,26.6,1,RD1,10
1285196914971,trafico,P1,media,30.36,1,RD1,9
1285196894885,trafico,P1,baja,26.6,1,RD1,10
1285196815820,trafico,P1,media,30.36,1,RD1,9
1285196810294,trafico,P1,baja,26.6,1,RD1,10
1285196543524,trafico,P1,baja,26.6,1,RD1,10
1285196529380,trafico,P1,media,30.36,1,RD1,9
1285196491070,incendio_vivienda,P1,baja,26.6,1,RD1,10
1285196487336,trafico,P4,baja,0.0,0,,11
1285196478421,trafico,P1,baja,26.6,1,RD1,10
1285196443427,trafico,P1,baja,26.6,1,RD1,10
1285196439550,rescate,P4,baja,0.0,0,,11
1285196407717,trafico,P1,baja,26.6,1,RD1,10
1285196406362,trafico,P4,baja,0.0,0,,11
1285196364052,rescate,P4,baja,0.0,0,,11
1285196337451,rescate,P4,baja,0.0,0,,11
1285196334930,trafico,P1,baja,26.6,1,RD1,10
1285196206687,trafico,P1,baja,26.6,1,RD1,10
1285196032171,trafico,P1,media,30.36,1,RD1,9
1285195945893,trafico,P4,baja,0.0,0,,11
1285195939889,incendio_vivienda,P4,baja,0.0,0,,11
1285195627089,trafico,P1,baja,26.6,1,RD1,10
1285195626340,trafico,P1,baja,26.6,1,RD1,10
1285195539589,trafico,P1,baja,26.6,1,RD1,10
1285195484829,rescate,P4,baja,0.0,0,,11
1285195424278,trafico,P4,baja,0.0,0,,11
1285195329452,trafico,P1,media,30.36,1,RD1,9
1285195217914,trafico,P1,baja,26.6,1,RD1,10
1285195148041,incendio_vivienda,P1,baja,26.6,1,RD1,10
1285195129907,sanitario,P4,baja,0.0,0,,11
1285195126948,sanitario,P4,baja,0.0,0,,11
1285195124294,trafico,P1,baja,26.6,1,RD1,10
1285195087828,trafico,P1,media,30.36,1,RD1,9
1285195082228,trafico,P1,media,30.36,1,RD1,9
1285195079827,trafico,P1,media,30.36,1,RD1,9
1285194895561,trafico,P4,baja,0.0,0,,11
1285194699332,inundacion,P4,baja,8.99,0,,9
1285194487161,trafico,P1,baja,26.6,1,RD1,10
1285194430336,trafico,P1,baja,26.6,1,RD1,10
1285194368587,trafico,P1,baja,26.6,1,RD1,10
1285193939131,sanitario,P1,media,30.36,1,RD1,9
1285193725606,trafico,P4,baja,0.0,0,,11
1285193494275,incendio_vivienda,P4,baja,0.0,0,,11
1285193437188,rescate,P4,baja,0.0,0,,11
1285193430131,trafico,P4,baja,0.0,0,,11
1285193422724,trafico,P4,baja,0.0,0,,11
1285193368411,trafico,P1,media,30.36,1,RD1,9
1285193365183,rescate,P4,baja,0.0,0,,11
1285193360152,trafico,P4,baja,0.0,0,,11
1285193357835,trafico,P1,media,30.36,1,RD1,9
1285193351303,trafico,P1,media,30.36,1,RD1,9
1285193342054,trafico,P1,media,30.36,1,RD1,9
1285193229952,inundacion,P4,baja,8.99,0,,9
1285192981648,trafico,P4,baja,0.0,0,,11
1285192685722,trafico,P1,baja,26.6,1,RD1,10
1285192466100,trafico,P1,media,30.36,1,RD1,9
1285192013721,incendio_vivienda,P1,baja,26.6,1,RD1,10
1285191920084,rescate,P4,baja,0.0,0,,11
1285191613764,trafico,P1,media,30.36,1,RD1,9
1285191611031,trafico,P4,baja,0.0,0,,11
1285191605545,rescate,P4,baja,0.0,0,,11
1285191603809,trafico,P1,media,30.36,1,RD1,9
1285191588126,incendio_vivienda,P4,baja,0.0,0,,11
1285191545908,trafico,P1,baja,26.6,1,RD1,10
1285191522522,trafico,P1,baja,26.6,1,RD1,10
1285191464397,trafico,P4,baja,0.0,0,,11
1285191214307,trafico,P4,baja,0.0,0,,11
1285191199227,sanitario,P4,baja,0.0,0,,11
1285191179941,trafico,P1,media,30.36,1,RD1,9
1285191060081,trafico,P4,baja,0.0,0,,11
1285190809053,trafico,P1,media,30.36,1,RD1,9
1285190113783,trafico,P1,baja,26.6,1,RD1,10
1285190067806,sanitario,P1,media,30.36,1,RD1,9
1285189992892,incendio_vivienda,P1,media,30.36,1,RD1,9
1285189927517,trafico,P4,baja,0.0,0,,11
1285189915855,trafico,P1,media,30.36,1,RD1,9
1285189772258,incendio_vivienda,P1,media,30.36,1,RD1,9
1285189724341,incendio_vivienda,P1,baja,26.6,1,RD1,10
1285189723335,trafico,P1,baja,26.6,1,RD1,10
1285189669576,incendio_vivienda,P1,baja,26.6,1,RD1,10
1285189590769,trafico,P4,baja,0.0,0,,11
1285189557907,trafico,P1,baja,26.6,1,RD1,10
1285189415681,incendio_vivienda,P1,baja,26.6,1,RD1,10
1285189272572,trafico,P1,media,30.36,1,RD1,9
1285188983985,trafico,P1,baja,26.6,1,RD1,10
1285188758671,trafico,P1,media,30.36,1,RD1,9
1285188613970,rescate,P1,media,30.36,1,RD1,9
1285188216839,incendio_vivienda,P1,baja,26.6,1,RD1,10
1285187993274,trafico,P1,baja,26.6,1,RD1,10
1285187784069,trafico,P1,media,30.36,1,RD1,9
1285187500682,trafico,P4,baja,0.0,0,,11
1285187455760,trafico,P4,baja,0.0,0,,11
1285187447606,trafico,P1,baja,26.6,1,RD1,10
1285187441575,incendio_vivienda,P1,baja,26.6,1,RD1,10
1285187434908,trafico,P1,media,30.36,1,RD1,9
1285187398206,trafico,P1,media,30.36,1,RD1,9
1285187391141,rescate,P4,baja,0.0,0,,11
1285187325417,trafico,P1,baja,26.6,1,RD1,10
1285186877556,trafico,P4,baja,0.0,0,,11
1285186873938,rescate,P4,baja,0.0,0,,11
1285186832801,rescate,P4,baja,0.0,0,,11
1285186449484,trafico,P1,baja,26.6,1,RD1,10
1285186067136,sanitario,P4,baja,0.0,0,,11
1285185996387,sanitario,P4,baja,0.0,0,,11
1285185967929,trafico,P4,baja,0.0,0,,11
1285185739233,trafico,P1,media,30.36,1,RD1,9
1285185617377,trafico,P4,baja,0.0,0,,11
1285185584111,incendio_vivienda,P4,baja,0.0,0,,11
1285185461742,trafico,P4,baja,0.0,0,,11
1285185218343,trafico,P1,media,30.36,1,RD1,9
1285185156628,rescate,P4,baja,0.0,0,,11
1285185147910,trafico,P1,media,30.36,1,RD1,9
1285185106107,trafico,P1,media,30.36,1,RD1,9
1285185057599,sanitario,P1,media,30.36,1,RD1,9
1285184942133,trafico,P4,baja,0.0,0,,11
1285184661768,incendio_vivienda,P1,media,30.36,1,RD1,9
1285184632304,sanitario,P1,media,30.36,1,RD1,9
1285184228608,trafico,P1,baja,26.6,1,RD1,10
1285184208256,trafico,P4,baja,0.0,0,,11
1285183812054,trafico,P1,baja,26.6,1,RD1,10
1285183781154,incendio_vivienda,P4,baja,0.0,0,,11
1285183451965,trafico,P4,baja,0.0,0,,11
1285183315588,trafico,P1,media,30.36,1,RD1,9
1285183032836,trafico,P4,baja,0.0,0,,11
1285182983394,trafico,P4,baja,0.0,0,,11
1285182979405,trafico,P4,baja,0.0,0,,11
1285182977358,trafico,P4,baja,0.0,0,,11
1285182968819,rescate,P4,baja,0.0,0,,11
1285182906093,rescate,P4,baja,0.0,0,,11
1285182876974,trafico,P4,baja,0.0,0,,11
1285182808061,trafico,P1,baja,26.6,1,RD1,10
1285182052483,trafico,P1,baja,26.6,1,RD1,10
1285181753831,trafico,P1,media,30.36,1,RD1,9
1285181744616,sanitario,P1,media,30.36,1,RD1,9
1285181656609,trafico,P1,media,30.36,1,RD1,9
1285181356012,trafico,P4,baja,0.0,0,,11
1285181306230,trafico,P4,baja,0.0,0,,11
1285181255410,trafico,P1,media,30.36,1,RD1,9
1285181119182,sanitario,P4,baja,0.0,0,,11
1285180911312,rescate,P4,baja,0.0,0,,11
